AnimalID,TrajectoryID,TrialNo,OriginalGroup,TargetGroup,Behaviours_ 1,Behaviours_ 2,Behaviours_ 3,Behaviours_ 4,Behaviours_ 5,Behaviours_ 6,Behaviours_ 7,Behaviours_ 8,Behaviours_ 9,Behaviours_10,Behaviours_11,Behaviours_12,Behaviours_13,Behaviours_14,Behaviours_15,Behaviours_16,Behaviours_17,Behaviours_18,Behaviours_19,Behaviours_20,Behaviours_21,Behaviours_22,Behaviours_23,Behaviours_24,Behaviours_25,Behaviours_26,Behaviours_27,Behaviours_28,Behaviours_29,Behaviours_30,Behaviours_31,Behaviours_32,Behaviours_33,Behaviours_34,Behaviours_35,Behaviours_36
87,9,1,1,1,2,2,7,7,7,7,4,4,4,1,1,1,1,4,4,4,6,6,4,4,1,1,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,10,2,1,1,8,8,8,8,2,2,8,8,8,8,8,7,1,1,1,4,4,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,11,3,1,1,3,3,2,7,7,8,8,8,8,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,12,4,1,1,6,6,6,8,8,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,89,5,1,1,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,90,6,1,1,7,8,8,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,91,7,1,1,6,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,92,8,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,169,9,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,170,10,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,171,11,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,172,12,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,13,1,1,1,1,1,3,3,4,4,4,7,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103,14,2,1,1,2,2,3,3,3,3,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103,15,3,1,1,1,1,2,7,7,7,1,2,2,2,1,1,4,4,4,7,7,2,2,2,4,4,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103,16,4,1,1,2,2,2,7,7,2,1,1,7,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103,93,5,1,1,4,4,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
103,94,6,1,1,7,7,7,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103,95,7,1,1,6,6,6,6,8,8,8,6,6,6,2,1,1,1,1,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103,96,8,1,1,2,2,7,7,6,6,6,4,1,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103,173,9,1,1,6,6,8,8,6,6,6,6,1,1,1,3,3,3,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103,174,10,1,1,6,6,5,5,5,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103,175,11,1,1,8,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103,176,12,1,1,8,8,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
91,25,1,1,1,1,1,1,1,1,1,7,7,6,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
91,26,2,1,1,7,7,7,7,8,2,2,1,1,1,1,1,1,1,1,1,2,2,1,7,7,7,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
91,27,3,1,1,2,2,7,7,7,2,2,3,7,8,8,3,4,4,4,6,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
91,28,4,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
91,105,5,1,1,7,7,6,6,6,3,2,5,5,5,6,4,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
91,106,6,1,1,5,5,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
91,107,7,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,108,8,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,185,9,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,186,10,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,187,11,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,188,12,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,29,1,1,1,1,1,1,1,7,4,4,1,1,1,1,1,1,1,1,4,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
93,30,2,1,1,7,8,8,8,8,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
93,31,3,1,1,7,7,7,4,4,4,4,1,1,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
93,32,4,1,1,7,7,7,3,3,3,3,3,7,7,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
93,109,5,1,1,2,3,3,3,2,1,1,1,1,1,7,7,2,2,4,4,6,6,6,2,7,7,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
93,110,6,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,111,7,1,1,8,8,8,7,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
93,112,8,1,1,8,8,8,8,7,8,8,8,3,3,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
93,189,9,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,190,10,1,1,8,8,8,8,8,3,3,8,8,8,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
93,191,11,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,192,12,1,1,8,8,8,7,7,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
95,41,1,1,1,7,7,7,7,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
95,42,2,1,1,6,6,6,2,7,7,3,3,7,7,3,3,2,7,6,6,6,1,2,7,7,7,7,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
95,43,3,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,44,4,1,1,8,8,8,3,3,3,3,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
95,121,5,1,1,3,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
95,122,6,1,1,6,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
95,123,7,1,1,8,8,8,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
95,124,8,1,1,4,4,4,6,6,4,4,4,3,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
95,201,9,1,1,7,7,7,2,2,7,7,5,5,5,6,6,7,3,3,3,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
95,202,10,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,203,11,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,204,12,1,1,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
121,45,1,1,1,4,4,3,2,2,2,1,1,2,2,1,1,1,2,3,3,2,2,2,2,7,7,7,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
121,46,2,1,1,2,1,1,1,2,4,4,4,1,1,2,2,4,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
121,47,3,1,1,6,6,3,3,3,3,6,6,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
121,48,4,1,1,7,7,7,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
121,125,5,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,2,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
121,126,6,1,1,2,2,7,7,8,7,7,1,1,1,1,2,2,2,1,1,1,7,7,3,3,3,8,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
121,127,7,1,1,3,3,4,4,4,6,6,6,7,4,4,4,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
121,128,8,1,1,2,2,2,1,1,1,2,3,3,3,6,6,8,8,8,8,8,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
121,205,9,1,1,3,3,3,4,4,4,4,1,1,1,2,2,4,4,4,2,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
121,206,10,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,207,11,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,208,12,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1
99,58,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,7,7,2,1,1,1,1,1,1,1,1,1,3,3,3,-1,-1,-1,-1,-1
99,59,3,1,1,1,1,7,7,7,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
99,60,4,1,1,7,7,7,2,2,2,2,2,2,3,3,2,2,2,2,8,8,8,2,2,2,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
99,137,5,1,1,3,3,1,1,2,2,3,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
99,138,6,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,139,7,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,140,8,1,1,2,7,7,7,2,2,2,7,7,2,2,2,2,2,1,1,7,7,1,1,1,1,1,4,4,4,7,7,-1,-1,-1,-1,-1,-1,-1,-1
99,217,9,1,1,3,3,3,2,1,2,2,1,1,7,7,1,1,2,2,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
99,218,10,1,1,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
99,219,11,1,1,7,7,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
99,220,12,1,1,6,6,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
114,61,1,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,62,2,1,1,4,6,6,2,2,7,7,1,1,3,2,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
114,63,3,1,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
114,64,4,1,1,6,6,6,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
114,141,5,1,1,6,6,7,3,3,6,1,1,2,2,1,1,2,2,2,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
114,142,6,1,1,3,3,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
114,143,7,1,1,3,3,8,8,7,7,7,3,3,3,4,4,3,3,7,7,7,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
114,144,8,1,1,2,6,6,7,7,3,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
114,221,9,1,1,5,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
114,222,10,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,223,11,1,1,2,7,7,6,6,3,3,3,3,8,8,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
114,224,12,1,1,3,3,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101,73,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101,74,2,1,1,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101,75,3,1,1,7,6,6,6,6,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101,76,4,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,153,5,1,1,4,4,2,2,2,1,1,4,4,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101,154,6,1,1,3,3,3,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101,155,7,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,156,8,1,1,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101,233,9,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,234,10,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,235,11,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,236,12,1,1,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
115,77,1,1,1,2,2,2,7,7,7,2,2,1,7,7,2,1,1,1,1,7,2,2,2,1,1,1,2,2,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
115,78,2,1,1,3,3,3,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
115,79,3,1,1,4,4,4,2,1,7,7,7,2,2,7,7,2,2,2,2,2,4,4,1,1,1,2,6,6,7,7,2,2,-1,-1,-1,-1,-1,-1,-1
115,80,4,1,1,2,7,7,2,2,2,7,7,1,1,1,1,1,2,2,2,3,3,3,4,4,2,2,7,7,1,1,1,1,7,-1,-1,-1,-1,-1,-1
115,157,5,1,1,7,7,7,2,2,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,7,7,2,2,2,2,1,1,1,2,2,2,-1,-1,-1,-1
115,158,6,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
115,159,7,1,1,1,7,5,5,5,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
115,160,8,1,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
115,237,9,1,1,2,2,5,5,5,3,3,3,3,2,3,3,3,4,4,7,1,2,2,6,7,7,2,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
115,238,10,1,1,5,5,5,3,3,8,8,8,7,3,3,7,7,5,5,5,2,7,7,5,5,5,5,7,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
115,239,11,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,240,12,1,1,6,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,249,1,1,1,7,7,1,1,2,7,7,7,1,1,1,1,1,1,2,2,2,4,2,2,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,250,2,1,1,7,3,3,3,3,7,7,2,2,2,2,2,2,4,4,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,251,3,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,252,4,1,1,7,7,7,2,2,2,8,8,8,8,1,1,1,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,317,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,7,7,4,6,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,318,6,1,1,3,3,3,3,7,1,1,1,1,1,7,7,8,7,7,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,319,7,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,320,8,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,385,9,1,1,1,1,7,3,6,6,6,4,4,7,4,4,4,7,7,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
